"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902101","GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","8/1308","19/18842",0.421052631578947,6.06534685337196,6.03332769624515,1.99689064132215e-05,0.000744250962794412,0.000744250962794412,"ESPL1/CDC20/MAPK15/SKA1/PLK1/UBE2C/DLGAP5/SKA3",8
"GO:0030900","GO:0030900","forebrain development","37/1308","258/18842",0.143410852713178,2.06586184007776,4.70821746671481,2.07712942957488e-05,0.000767862399697315,0.000767862399697315,"CNTNAP2/SALL3/STIL/FEZF1/WDR62/OTX2/SRD5A2/NEFL/SLC32A1/LHX1/TACC3/SIX3/LRP8/SCT/ARHGAP11B/WNT7A/PAX6/EFNA2/NKX2-1/SHH/HTR6/RTN4R/PRDM13/LHX8/APLP1/VAX2/ZIC3/KIF14/SMC4/NPY/EZH2/SOX2/SLC2A1/DRAXIN/ZIC1/INHBA/TBR1",37
"GO:0030574","GO:0030574","collagen catabolic process","12/1308","43/18842",0.27906976744186,4.02005547258374,5.41498327652094,2.42510684150257e-05,0.000889271032928403,0.000889271032928403,"MMP11/MMP3/MMP10/MMP12/MMP1/ADAMTS14/KLK6/MMP7/PRSS2/MMP20/MMP9/MMP13",12
"GO:0048562","GO:0048562","embryonic organ morphogenesis","26/1308","157/18842",0.165605095541401,2.38557431971795,4.7615510654526,2.95608283663048e-05,0.0010753046926527,0.0010753046926527,"STIL/NKX2-5/LHX1/FOXL2/HOXB9/HOXA11/FBN3/SIX3/SOX11/MYO3B/POU3F4/SIX2/SHH/FBN2/TBX20/MTHFD1L/TIFAB/FOXH1/MYO3A/ZIC3/HOXC11/OTOP1/MFAP2/ZIC1/TH/COL2A1",26
"GO:0032465","GO:0032465","regulation of cytokinesis","19/1308","97/18842",0.195876288659794,2.82163687379804,4.91270062145966,3.26993075138696e-05,0.00118002977194893,0.00118002977194893,"RACGAP1/RXFP3/CDC6/BIRC5/ECT2/CDC25B/AURKB/FSD1/PRC1/KIF20A/AURKA/E2F7/PLK1/CDCA8/KIF23/CIT/KIF14/E2F8/CXCR5",19
"GO:0034080","GO:0034080","CENP-A containing chromatin assembly","6/1308","11/18842",0.545454545454545,7.85738115095913,6.21345683897975,3.77233678045419e-05,0.00135061538115946,0.00135061538115946,"CENPA/CENPI/HJURP/CENPW/CENPN/OIP5",6
"GO:0009948","GO:0009948","anterior/posterior axis specification","11/1308","39/18842",0.282051282051282,4.06300478318827,5.22975990528745,4.73786271630506e-05,0.00167166898955,0.00167166898955,"OTX2/FOXA2/CDX2/LHX1/WT1/RIPPLY2/SIX2/SHH/TIFAB/ZIC3/MESP2",11
"GO:0040020","GO:0040020","regulation of meiotic nuclear division","8/1308","21/18842",0.380952380952381,5.48769477209844,5.61987889204586,4.74258411374423e-05,0.00167166898955,0.00167166898955,"RAD51AP1/STRA8/KNL1/HORMAD1/DMRT1/TRIP13/ZWINT/FBXO43",8
"GO:0090231","GO:0090231","regulation of spindle checkpoint","10/1308","33/18842",0.303030303030303,4.36521175053285,5.2844751389737,5.3083445540711e-05,0.00185669559133548,0.00185669559133548,"BIRC5/KNL1/AURKB/MAD2L1/SKA1/CCNB1/CDCA8/ZWINT/NDC80/SKA3",10
"GO:0002438","GO:0002438","acute inflammatory response to antigenic stimulus","9/1308","27/18842",0.333333333333333,4.80173292558614,5.39916650046786,5.43195379199569e-05,0.00188542701467209,0.00188542701467209,"PLA2G2D/ORM1/IGHE/IGHG1/FCGR1A/ORM2/CCR7/NPY/FUT7",9
