"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005126","GO:0005126","cytokine receptor binding","37/1355","278/18706",0.133093525179856,1.83737821550877,3.93089283041289,0.000243457227931212,0.00728748635607428,0.00728748635607428,"IL27/IL21/IL11/CXCL11/TFF2/CXCL17/TNFSF13B/CXCL5/GH2/TGFBR3L/CCL7/IFNB1/IL36G/CCL25/LTA/CCL17/IFNA10/CXCL10/S100A14/AMH/IL17F/CCL11/IL36RN/IFNL1/IFNG/OSM/LTB/RHEX/CCL1/CRLF1/IL37/CSH2/CXCL9/ADAM8/IL12B/CCL20/CXCL8",37
"GO:0120543","GO:0120543","macromolecular conformation isomerase activity","37/1355","278/18706",0.133093525179856,1.83737821550877,3.93089283041289,0.000243457227931212,0.00728748635607428,0.00728748635607428,"KIF18A/TDRD12/BLM/ERCC6L/KIF4B/POLQ/CHTF18/KIF26B/DSCC1/HELLS/KIF4A/KIF1A/KIF20A/MYO3B/RFC4/KIF15/KIF18B/BRIP1/DNA2/KIF11/MCM2/KIF23/DNAH11/DQX1/MYO3A/MCM4/KIF2C/RAD54L/KIF14/PIF1/KIFC1/DDX39A/MYH6/RECQL4/CENPE/RAD51/TOP2A",37
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","26/1355","171/18706",0.152046783625731,2.09903109557411,4.03457682304518,0.00025252627528643,0.00731511597442627,0.00731511597442627,"SERPINB7/CSTL1/SLCO1B3/SERPINB2/BIRC5/NLRP7/SERPINB4/SERPINB3/SERPINE2/PTTG1/CST1/PCSK1N/LCN1/A2ML1/PI3/CST6/PTTG3P/SERPINB10/HMSD/CARD18/SMR3A/AHSG/SMR3B/CST2/SERPINB11/CST4",26
"GO:0003678","GO:0003678","DNA helicase activity","13/1355","60/18706",0.216666666666667,2.99111931119311,4.31684364283317,0.000297568307246777,0.00835051062211267,0.00835051062211267,"BLM/ERCC6L/POLQ/CHTF18/DSCC1/RFC4/BRIP1/DNA2/MCM2/MCM4/PIF1/RECQL4/RAD51",13
"GO:0099094","GO:0099094","ligand-gated monoatomic cation channel activity","22/1355","137/18706",0.160583941605839,2.21688797909877,3.99487206279768,0.000338368242801677,0.00920771763745169,0.00920771763745169,"CHRND/P2RX5/KCNJ4/CHRNA6/CHRNG/HTR3A/HCN2/CHRNA9/KCNJ18/CHRNA5/CNGB1/TRPM8/TRPA1/KCNJ6/CNGA2/MCOLN2/HTR3B/KCNH2/KCNJ10/GRIN2D/ASIC5/CHRNB4",22
"GO:0003823","GO:0003823","antigen binding","26/1355","178/18706",0.146067415730337,2.01648492889423,3.80787709986885,0.000477627900186762,0.0126149957166974,0.0126149957166974,"IGHV1-69-2/LAG3/IGHV3-23/SLC7A5/IGHV7-4-1/IGLV6-57/IGKV1-5/IGHV5-51/IGHV1-18/IGHE/TAP1/IGHV1-69D/IGHG1/IGHG3/CD1A/IGLV1-47/IGKV3-15/IGHG2/IGHV3-73/CD1B/IGHV3-20/IGHG4/IGLV3-21/IGHV3-21/IGHV3-33/IGHV1-69",26
"GO:1904315","GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","11/1355","50/18706",0.22,3.03713653136531,4.030715278181,0.000745313593785993,0.0191226173491378,0.0191226173491378,"CHRND/GABRA5/CHRNA6/CHRNG/GABRD/CHRNA9/CHRNA5/GABRA3/GRIN2D/CHRNB4/GABRA1",11
"GO:0031491","GO:0031491","nucleosome binding","16/1355","92/18706",0.173913043478261,2.40089844376705,3.76415033909786,0.000872882912968311,0.0207089870721807,0.0207089870721807,"CENPA/H3C7/H3C11/H3C1/H3C10/H1-5/H3C8/H3C2/H1-1/H1-6/H3C12/HMGA2/H1-3/H3C3/EZH2/H2AZ1",16
"GO:0022848","GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity","6/1355","17/18706",0.352941176470588,4.87241154764489,4.46374302098232,0.00088127919498768,0.0207089870721807,0.0207089870721807,"CHRND/CHRNA6/CHRNG/CHRNA9/CHRNA5/CHRNB4",6
"GO:0045236","GO:0045236","CXCR chemokine receptor binding","6/1355","17/18706",0.352941176470588,4.87241154764489,4.46374302098232,0.00088127919498768,0.0207089870721807,0.0207089870721807,"CXCL11/TFF2/CXCL5/CXCL10/CXCL9/CXCL8",6
"GO:0016917","GO:0016917","GABA receptor activity","7/1355","23/18706",0.304347826086957,4.20157227659233,4.29328946448486,0.000899388079972214,0.0207089870721807,0.0207089870721807,"GABRA5/GABBR2/GABRQ/GPR156/GABRD/GABRA3/GABRA1",7
"GO:0061134","GO:0061134","peptidase regulator activity","31/1355","237/18706",0.130801687763713,1.80573901941551,3.48845501545203,0.000998762424606917,0.0224222164324253,0.0224222164324253,"SERPINB7/FN1/CSTL1/R3HDML/SLCO1B3/SERPINB2/BIRC5/NLRP7/SERPINB4/UMODL1/SERPINB3/SERPINE2/PTTG1/CST1/PCSK1N/LCN1/A2ML1/PI3/CST6/TIFAB/PTTG3P/SERPINB10/HMSD/CARD18/SMR3A/AHSG/SMR3B/CST2/SERPINB11/AIM2/CST4",31
"GO:0000217","GO:0000217","DNA secondary structure binding","9/1355","37/18706",0.243243243243243,3.35801336391742,4.01211012661814,0.00104077092024812,0.0227954216190929,0.0227954216190929,"RAD51AP1/BLM/HMGB3/CLSPN/XRCC2/HMGA2/NEIL3/HMGA1/RECQL4",9
"GO:0042379","GO:0042379","chemokine receptor binding","14/1355","77/18706",0.181818181818182,2.510030191211,3.71041486135599,0.00114945648669348,0.0245764744059702,0.0245764744059702,"CXCL11/TFF2/CXCL17/CXCL5/CCL7/CCL25/CCL17/CXCL10/S100A14/CCL11/CCL1/CXCL9/CCL20/CXCL8",14
"GO:0008301","GO:0008301","DNA binding, bending","6/1355","18/18706",0.333333333333333,4.60172201722017,4.2721970865803,0.00124145139901299,0.025926124565434,0.025926124565434,"HMGB3/FOXD1/FOXL1/HMGA2/HMGA1/TOP2A",6
"GO:0061135","GO:0061135","endopeptidase regulator activity","27/1355","200/18706",0.135,1.86369741697417,3.43167845944833,0.00128303025814301,0.0261854811775552,0.0261854811775552,"SERPINB7/CSTL1/SLCO1B3/SERPINB2/BIRC5/NLRP7/SERPINB4/SERPINB3/SERPINE2/PTTG1/CST1/PCSK1N/LCN1/A2ML1/PI3/CST6/PTTG3P/SERPINB10/HMSD/CARD18/SMR3A/AHSG/SMR3B/CST2/SERPINB11/AIM2/CST4",27
"GO:0005216","GO:0005216","monoatomic ion channel activity","50/1355","445/18706",0.112359550561798,1.55114225299556,3.28827161419305,0.00131521221531404,0.0262457904300446,0.0262457904300446,"CHRND/SLC24A2/P2RX5/PANX3/GABRA5/UNC80/KCNJ4/CHRNA6/CHRNG/KCNG1/CACNA1B/SLC26A9/CACNG5/CACNA1E/GABRQ/PACC1/CALHM3/KCNK9/GABRD/HTR3A/HCN2/CHRNA9/KCNJ18/CHRNA5/CNGB1/CALHM6/BSND/TRPM8/TRPA1/KCNJ6/CNGA2/MCOLN2/HTR3B/TTYH3/KCNH2/KCNK5/OCA2/GABRA3/KCNJ10/KCNG3/OTOP1/SLC7A11/SLC5A8/KCNV1/GRIN2D/KCNQ5/SCN1A/ASIC5/CHRNB4/GABRA1",50
"GO:0005201","GO:0005201","extracellular matrix structural constituent","25/1355","181/18706",0.138121546961326,1.90679089111333,3.42573351863858,0.0013778749663782,0.0268985156479918,0.0268985156479918,"COL10A1/FN1/COL22A1/COL11A2/BGN/CTHRC1/FBN3/COL11A1/COL6A5/COL9A1/ESM1/AMELX/COMP/ACAN/FBN2/ZP4/CHI3L1/MUC5AC/COL9A3/OTOG/MUC5B/MFAP2/COL19A1/COL2A1/HAPLN1",25
"GO:0008528","GO:0008528","G protein-coupled peptide receptor activity","19/1355","124/18706",0.153225806451613,2.11530770146411,3.48213468247308,0.00148356137551999,0.0281184252887805,0.0281184252887805,"RXFP3/GHRHR/HCRTR2/OPRK1/PROKR2/CCKBR/NPFFR1/KISS1R/NPBWR1/GAL/MCHR2/GPR84/NTSR1/GALR2/QRFPR/OPRD1/SORCS3/RXFP1/AVPR1B",19
"GO:0003774","GO:0003774","cytoskeletal motor activity","18/1355","115/18706",0.156521739130435,2.16080859939034,3.48934901035972,0.00152699685920483,0.0281184252887805,0.0281184252887805,"KIF18A/KIF4B/KIF26B/KIF4A/KIF1A/KIF20A/MYO3B/KIF15/KIF18B/KIF11/KIF23/DNAH11/MYO3A/KIF2C/KIF14/KIFC1/MYH6/CENPE",18
